"Комментарий","Путь","ГТ","Т","Трейлер","П","Постеры","М","Наименование","С","З","О","!","Контрагент","Дата публикации"
"готовит Саша, 2022","\\nas\ROOT\EDIT\_amedia\Temnye_vetra_s01","","","","","","O","Темные ветра. 01 сезон. 04 серия","g","п","","","Амедиа","20.06.2024"
"готовит Саша, 2022","\\nas\ROOT\EDIT\_amedia\Temnye_vetra_s01","","","","","","O","Темные ветра. 01 сезон. 05 серия","g","п","","","Амедиа","20.06.2024"
"готовит Саша, 2022","\\nas\ROOT\EDIT\_amedia\Temnye_vetra_s01","","","","","","O","Темные ветра. 01 сезон. 06 серия","g","п","","","Амедиа","20.06.2024"
"готовит Саша, 2023","\\nas\ROOT\EDIT\_amedia\Temnye_vetra_s02","","","","п","Катя","O","Темные ветра. 02 сезон. 06 серий","g","п","","","Амедиа","20.06.2024"
"готовит Кирилл","\\nas\ROOT\EDIT\_amedia\Uoker_s04","","","","п","Катя","O","Уокер. 04 сезон. 12 серия","g","п","","","Амедиа","20.06.2024"
"готовит Кирилл","\\nas\ROOT\EDIT\_amedia\Milye_obmanshicy_pervorodnyy_greh_s02","","","","п","Катя","O","Милые обманщицы: Первородный грех. 02 сезон. 07 серия","g","g","","","Амедиа","20.06.2024"
"готовит Саша, 2024","\\nas\ROOT\EDIT\_amedia\Mificheskie_sozdaniya_i_kak_ih_gotovyat_s01","r","g","Саша","п","Катя","O","Мифические создания и как их готовят. 01 сезон. 01 серия","g","п","","","Амедиа","21.06.2024"
"готовит Саша, 2024","\\nas\ROOT\EDIT\_amedia\Mificheskie_sozdaniya_i_kak_ih_gotovyat_s01","","","","","","O","Мифические создания и как их готовят. 01 сезон. 02 серия","g","п","","","Амедиа","21.06.2024"
"готовит Саша, 2024","\\nas\ROOT\EDIT\_amedia\Mificheskie_sozdaniya_i_kak_ih_gotovyat_s01","","","","","","O","Мифические создания и как их готовят. 01 сезон. 03 серия","g","п","","","Амедиа","21.06.2024"
"готовит Саша, 2024","\\nas\ROOT\EDIT\_amedia\Zlo_s04","","","","п","Катя","O","Зло. 04 сезон. 05 серия","g","п","","","Амедиа","21.06.2024"
